records=3337 sumC=272 174 828 sumU=399 389 223 dataStart=0x1C7703
DATA\events\s02_08_0_atlantic_war_end.lua	92	92	0xA16169	BD1898ED
DATA\events\s02_09_0_europe_price_raise.lua	1561	1561	0xA161C5	A25BF8D2
DATA\events\s02_10_0_war_over.lua	422	422	0xA167DE	C9A75DC8
DATA\events\s02_11_0_sao_close.lua	369	369	0xA16984	7AFF721D
DATA\events\s02_12_0_sao_open.lua	297	297	0xA16AF5	60F8DB6B
DATA\events\s02_13_0_brazil_start.lua	388	388	0xA16C1E	798760DD
DATA\events\s02_14_0_brazil_stop.lua	398	398	0xA16DA2	D80D5F66
DATA\events\s02_15_0_stock_trouble.lua	623	623	0xA16F30	51CC02D1
DATA\events\s02_16_0_friday_start.lua	437	437	0xA1719F	42351A61
DATA\events\s02_17_0_friday_end.lua	337	337	0xA17354	A3EE9558
DATA\events\vssver.scc	2224	1690	0xA174A5	FB3FFC2C
DATA\events\x20_0_0_malaysia.lua	250	250	0xA17B3F	297036EA
DATA\events\x21_0_0_vietnam.lua	437	437	0xA17C39	D05321F5
DATA\events\x22_0_0_degaulle.lua	253	253	0xA17DEE	15F61D70
DATA\events\x23_0_0_jemen.lua	346	346	0xA17EEB	CBDA3333
DATA\events\x24_0_0_cgt.lua	330	330	0xA18045	B9918D4D
DATA\events\x24_0_1_cgt.lua	310	310	0xA1818F	271576EE
DATA\events\x25_0_0_renault.lua	246	246	0xA182C5	81D2FFEF
DATA\events\x26_0_0_suez.lua	246	246	0xA183BB	BBE3E03B
DATA\events\x26_0_1_suez.lua	219	219	0xA184B1	2C85F772
DATA\events\x27_0_0_maurice.lua	317	317	0xA1858C	346069D6
DATA\events\x28_0_0_union.lua	284	284	0xA186C9	1D87126B
DATA\events\x29_0_0_degaulle.lua	273	273	0xA187E5	EC2766D4
DATA\events\x30_0_0_club.lua	419	419	0xA188F6	98FE6913
DATA\events\x31_0_0_dollar.lua	302	302	0xA18A99	470FF9C0
